seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.609375,273,448,5.109703599633316,1.079374982509762,11.730471032205969,12.320167035795748,2.2891472126357257,120,4.55,156598.15787697787,2.294399500009604
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.6830357142857143,306,448,5.772428645026854,1.4003330143168569,15.346372686326504,15.990167041309178,2.5860480329720303,120,5.1,157163.959091499,2.5915011250181124
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.944954128440367,103,109,2.890403677256556,2.7512500528246164,4.5634835958480835,4.715958028100431,0.3150540008209646,57,0.8583333333333333,301139.0990539051,0.3187510831048712
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.944954128440367,103,109,0.8710619529982636,0.7389170350506902,1.7969833919778397,3.8644169690087438,0.09494575287681073,75,0.8583333333333333,301586.48019627057,0.09903208294417709
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.944954128440367,103,109,1.9815569741378,1.8490419024601579,2.736282767727971,4.750208929181099,0.2159897101810202,58,0.8583333333333333,301218.1550905249,0.22008466708939523
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9523809523809523,260,273,6.229199490837425,6.453542038798332,9.983841772191225,11.147874989546835,1.7005714609986171,120,2.1666666666666665,305550.30117011245,1.7048222500598058
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9523809523809523,260,273,1.0974172898482928,0.8561660069972277,1.1382997268810864,7.071833009831607,0.2995949201285839,190,2.1666666666666665,308402.1549440674,0.3045302079990506
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9523809523809523,260,273,2.2118337714239518,1.8737079808488488,3.2549748197197905,10.177499963901937,0.6038306195987388,124,2.1666666666666665,305720.7326420007,0.6085518749896437
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9665178571428571,433,448,11.120942342521241,11.215645470656455,19.774683646392077,21.191250067204237,4.982182169449516,174,3.6083333333333334,309414.89532406675,4.9871797079686075
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9508928571428571,426,448,2.0213505501617743,1.008166465908289,12.414845888270051,15.13970794621855,0.9055650464724749,240,3.55,311950.0059764869,0.9108164579374716
23,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9665178571428571,433,448,2.386094690986543,1.8972704419866204,3.8774619635660192,18.553750007413328,1.0689704215619713,185,3.6083333333333334,310185.74490957736,1.0741649159463122
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9354838709677419,58,62,1.178834639910248,1.1328955297358334,2.1482764743268485,2.457332913763821,0.07308774767443538,27,1.9333333333333333,76114.20129377567,0.0775419999845326
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9354838709677419,58,62,0.33098924717295075,0.2753959852270782,0.42410617461428035,1.792500028386712,0.020521333324722946,43,1.9333333333333333,76478.40260641283,0.02439704106654972
